Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address1_clean,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Final,Name_Changed_Flag
Allerton Park Homeowner'S Association,0295422005-4,SUB,333,(702) 515-2042,Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT INC,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
"Allure Homeowners' Association, Inc.",0608152007-2,REG,427,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Allure I Townhomes Homeowners Association,3232-1994,REG,126,(702) 835-6904,The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,THE MANAGEMENT TRUST,8485 w sunset rd,the management trust,7028356904,the management trust,the management trust,the management trust,False
Alondra Homeowners' Association,769-2005,REG,320,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Alpian Meadow @ Mountain'S Edge,SAME AS MASTER,SAM,84,,Capital Consultants Management Corportation,8090 Blur Diamond Rd,Las Vegas,NV,89178,Clark,CAPITAL CONSULTANTS MANAGEMENT CORPORTATION,8090 blur diamond rd,capital consultant management corportation,,,capital consultant management corportation,capital consultant management corportation,False
Alpine Crossings And Whisper Peak Community Association,0464062015-7,SUB,204,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Alpine Meadows Estates Homeowners Association The,7447-1996,REG,19,(702) 365-6720,Thoroughbred Management,"3100 W. Sahara, Ste #203",Las Vegas,NV,89102,Clark,THOROUGHBRED MANAGEMENT,3100 w sahara,thoroughbred management,7023656720,first columbia community management,thoroughbred management,thoroughbred management,False
Alpine Ridge Estates Homeowners Association,0498242007-9,REG,25,(702) 247-1115,Ideal Community Management,5785 Centennial Center Blvd Ste 210,Las Vegas,NV,89149,Clark,IDEAL COMMUNITY MANAGEMENT,5785 centennial center blvd,ideal community management,7022471115,ideal community management,ideal community management,ideal community management,False
Alpine Terrace Property Owners Association,1290-1974,REG,24,(775) 853-9777,Terra West Management Services,10651 Professional Cir Ste A,Reno,NV,89521,Washoe,TERRA WEST MANAGEMENT SERVICES,10651 professional cir,terra west management service,7758539777,terra west management service,terra west management service,terra west management service,False
Alpine Vista Ii Homeowners Association,3388-1992,REG,84,(775) 329-7070,Reno Property Management,1575 Delucchi Ln Ste 224,Reno,NV,89502,Washoe,RENO PROPERTY MANAGEMENT,1575 delucchi ln,reno property management,7753297070,reno property management,reno property management,reno property management,False
Alta Fiore Community Association,0012202019-3,SUB,138,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89104,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Alta Village Homeowners' Association,7808-1994,REG,9,(775) 832-6604,Incline Property Management,848 Tanager St Ste M,Incline Village,NV,89451,Washoe,INCLINE PROPERTY MANAGEMENT,848 tanager st,incline property management,7758326604,incline property management,incline property management,incline property management,False
Altair & Gemini Pointe Homeowners Association,0453362018-3,SUB,375,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Altair Homeowners Association,11896-1994,REG,176,(702) 368-4637,"Elite Hoa Management, Inc.",8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,"ELITE HOA MANAGEMENT, INC.",8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,False
Altair Sw Homeowners Association,2952002019-4,REG,202,(702) 835-6904,The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,THE MANAGEMENT TRUST,8485 w sunset rd,the management trust,7028356904,the management trust,the management trust,the management trust,False
Alterra Homeowners Association,24204-2002,SUB,158,(702) 655-7064,Nevada Community Management,7571 Tule Springs Rd,Las Vegas,NV,89131,Clark,NEVADA COMMUNITY MANAGEMENT,7571 tule spring rd,nevada community management,7026557064,las vega valley community management,las vega valley community management,nevada community management,False
Altezza Homeowners Association Inc,9896-1996,SUB,128,(702) 362-6262,Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Altitude Homeowners Association,1816682019-5,REG,6,(702)305-2753,Triton Hoa Services Llc,6935 Aliante Pkwy Ste 104-141,N Las Vegas,NV,89084,Clark,TRITON HOA SERVICES LLC,6935 aliante pkwy,triton hoa service,7023052753,triton hoa service,triton hoa service,triton hoa service,False
Altura Unit Owners Association,0218282015-5,SUB,119,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Alturas At Mountain'S Edge Homeowners Association,0168262006-1,SUB,83,(702) 795-1740,Shannon Day Property Management,Po Box 97512,Las Vegas,NV,89193,Clark,SHANNON DAY PROPERTY MANAGEMENT,po box 97512,shannon day property management,7027951740,shannon day property management,shannon day property management,shannon day property management,False
Alum Creek Patio Homes Homeowners Association,3220-1988,SUB,112,(702) 737-8580,"Firstservice Residential, Nevada, Llc","639 Isbell Rd, Ste 280",Reno,NV,89509,Washoe,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",639 isbell rd,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Amado Homeowner'S Association,0568642006-1,SUB,503,(702) 515-2042,Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Amarante @ Summerlin North,SAME AS MASTER,SAM,160,(702) 882-5500,Summerlin Community Management,2120 Snow Trail,Las Vegas,NV,89134,Clark,SUMMERLIN COMMUNITY MANAGEMENT,2120 snow trail,summerlin community management,7028825500,summerlin community management,summerlin community management,summerlin community management,False
Amarillo Homeowners Association,0528972005-1,REG,53,(702) 362-6262,Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
"Amber Hills Ii Homeowners' Association, Inc",7307-2002,REG,176,(702) 362-6262,Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Amber Hills Iii Homeowners Association Inc,7407-2002,REG,80,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911B,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Amber Hills Owners Association Inc,318-1999,SUB,82,(702) 737-8580,Firstservice Residential Nevada Llc,8290 Arville St,Las Vegas,NV,89139,Clark,FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
"Amber Hills West Homeowners Association, Inc.",5677-1998,REG,88,(702) 795-1740,Shannon Day Property Management,Po Box 97512,Las Vegas,NV,89193,Clark,SHANNON DAY PROPERTY MANAGEMENT,po box 97512,shannon day property management,7027951740,shannon day property management,shannon day property management,shannon day property management,False
Amber Ridge Association,7614-2004,REG,199,(702) 515-2042,Thoroughbred Management Inc,710 Coronado Center Drive,N Las Vegas,NV,89052,Clark,THOROUGHBRED MANAGEMENT INC,710 coronado center drive,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Amber Ridge Community Association,15054-2004,REG,213,(702) 655-7064,Las Vegas Valley Community Management,7571 Tule Springs Rd,Las Vegas,NV,89131,Clark,LAS VEGAS VALLEY COMMUNITY MANAGEMENT,7571 tule spring rd,las vega valley community management,7026557064,las vega valley community management,las vega valley community management,las vega valley community management,False
Amber Wood Homeowners Association,27877-2004,REG,55,(702) 982-2587,Nevada'S Finest Properties,3568 E Russell Rd,Las Vegas,NV,89120,Clark,NEVADA'S FINEST PROPERTIES,3568 e russell rd,nevada finest propertie,7029822587,nevada finest propertie,nevada finest propertie,nevada finest propertie,False
"Ambiance Estates Homeowners Association, Inc.",16829-2000,REG,49,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911-B,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
"American Village Association, Inc.",1145-1973,REG,147,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911B,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
American West Liberty Homeowners Association,0546802018-9,REG,135,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89183,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
American West Village Ii Owners Association,16408-1996,REG,97,(702) 767-9993,Epic Association Management,8712 Spanish Ridge Ave,Las Vegas,NV,89148,Clark,EPIC ASSOCIATION MANAGEMENT,8712 spanish ridge ave,epic association management,7027679993,epic association management,epic association management,epic association management,False
American West Village Owners Association,16349-1994,REG,203,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Amizade Homeowners Association,0466452018-9,REG,172,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Anasazi Estates Homeowners Association,8786-1995,REG,137,(702) 869-0937,Prime Community Management Llc,181 N Arroyo Grande Blvd Ste 125,Henderson,NV,89074,Clark,PRIME COMMUNITY MANAGEMENT LLC,181 n arroyo grande blvd,prime community management,7028690937,prime community management,prime community management,prime community management,False
Anchor Pointe Master Homeowners Association,0116102019-6,MSTR,247,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
"Andalusia Homeowner'S Association, The",0655902011-6,SUB,81,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Andover Community Association,2031252019-9,REG,65,(702) 873-5448,Century Communities Of Nevada Llc,6345 S Jones Blvd Suite 400,Las Vegas,NV,89118,Clark,CENTURY COMMUNITIES OF NEVADA LLC,6345 s jone blvd,century communitie of nevada,7028735448,century communitie of nevada,century communitie of nevada,century communitie of nevada,False
Andover Homeowners Association,2623-2004,REG,101,(702) 458-2580,Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Clark,COLONIAL PROPERTY MANAGEMENT,8595 s eastern ave,colonial property management,7024582580,colonial property management,colonial property management,colonial property management,False
Angel Court Homeowners Association,4852-1994,REG,40,(702) 433-0149,Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,LEVEL PROPERTY MANAGEMENT,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,False
Angel Point Homeowners Association,138-1995,REG,144,(702) 222-2391,"Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,"NEVADA COMMUNITY MANAGEMENT, LLC",9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Anitra Road Maintenance Association,5294-1996,REG,20,(775) 674-8000,"Kenyon & Associates, Inc.",645 Sierra Rose Dr Ste 104,Reno,NV,89519,Washoe,"KENYON & ASSOCIATES, INC.",645 sierra rose dr,kenyon associate,7756748000,kenyon associate,kenyon associate,kenyon associate,False
Ann Losee Homeowners Association,0674752005-2,REG,264,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Annendale Homeowners Association,35191-2001,REG,194,(702) 433-0149,Level Property Management,"8966 Spanish Ridge Ave., Ste 100",Las Vegas,NV,89148,Clark,LEVEL PROPERTY MANAGEMENT,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,False
Ansedonia At Southern Highlands Homeowners Association,23882-2003,SUB,160,(702) 737-8580,Firstservice Residential Nevada Llc,8290 Arville St,Las Vegas,NV,89139,Clark,FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Antelope Canyon Homeowners Association,17971-1997,REG,102,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Antelope Homeowners' Association,14176-2004,REG,292,(702) 577-3500,On The Ball,1180 N Town Center Dr #100,Las Vegas,NV,89144,Clark,ON THE BALL,1180 n town center dr 100,on the ball,7025773500,on the ball,on the ball,on the ball,False
"Anthem Country Club Community Association, Inc.",14326-1998,REG,1647,(702) 737-8580,Firstservice Residential Nevada Llc,8290 Arville Street,Las Vegas,NV,89135,Clark,FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Anthem Highlands Community Association,18706-2003,MSTR,1549,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Antigua Maintenance Corporation,27048-2000,REG,264,(702) 851-7660,"Nicklin Property Management & Investments, Inc",375 N Stephanie St Ste 911,Henderson,NV,89014,Clark,"NICKLIN PROPERTY MANAGEMENT & INVESTMENTS, INC",375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
"Apache Hills Home Owners' Association, Inc.",12648-2003,REG,88,(702) 795-1740,Shannon Day Property Management,Po Box 97512,Las Vegas,NV,89193,Clark,SHANNON DAY PROPERTY MANAGEMENT,po box 97512,shannon day property management,7027951740,shannon day property management,shannon day property management,shannon day property management,False
Apache Springs Homeowners Association,956-1994,REG,146,(702) 262-9091,Regal Property Management,3945 W Reno Ave Ste E,Las Vegas,NV,89118,Clark,REGAL PROPERTY MANAGEMENT,3945 w reno ave,regal property management,7022629091,regal property management,regal property management,regal property management,False
Appaloosa Canyon/Quarterhorse Falls Homeowners Association,2484-2000,REG,339,(702) 247-1115,Ideal Community Management,5785 Centennial Center Blvd Ste 210,Las Vegas,NV,89149,Clark,IDEAL COMMUNITY MANAGEMENT,5785 centennial center blvd,ideal community management,7022471115,ideal community management,ideal community management,ideal community management,False
Approach 80 Homeowners Association,7239-1981,REG,38,(702) 362-0318,"Performance Cam, Llc",5135 Camino Al Norte #100,N Las Vegas,NV,89031,Clark,"PERFORMANCE CAM, LLC",5135 camino al norte 100,performance cam,7023620318,performance cam,performance cam,performance cam,False
Aragon Homeowners' Association,0112782015-8,REG,143,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89183,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Arbor Glen Homeowners Association,0053052006-8,REG,147,(702) 292-9091,Regal Property Management,3945 W Reno Ave Ste E,Las Vegas,NV,89118,Clark,REGAL PROPERTY MANAGEMENT,3945 w reno ave,regal property management,7022929091,regal property management,regal property management,regal property management,False
Arbor Grove @ Summerlin North,SAME AS MASTER,SAM,165,(702) 838-5500,Summerlin Community Management,2120 Snow Trail,Las Vegas,NV,89134,Clark,SUMMERLIN COMMUNITY MANAGEMENT,2120 snow trail,summerlin community management,7028385500,summerlin community management,summerlin community management,summerlin community management,False
Arbor Heights Community Association,1422912019-5,REG,69,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
"Arbor Lane Landscape Maintenance Association, Inc",9376-2000,REG,261,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Arbor Park Community Association,2024-2000,REG,160,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Arbor View @ Summerlin North,SAME AS MASTER,SAM,88,(702) 838-5500,Summerlin Communty Management,2120 Snow Trail,Las Vegas,NV,89134,Clark,SUMMERLIN COMMUNTY MANAGEMENT,2120 snow trail,summerlin communty management,7028385500,summerlin community management,summerlin community management,summerlin community management,True
Arbor Villas Homeowners Association,0087732019-5,REG,147,(775) 626-7333,Associa Sierra North,10509 Professional Cir Ste 200,Reno,NV,89521,Washoe,ASSOCIA SIERRA NORTH,10509 professional cir,associa,7756267333,associa,associa,associa,False
"Arbors Owners Association Inc, The",3100-1984,REG,159,(702) 365-6720,First Columbia Community Management Inc,Po Box 28759,Las Vegas,NV,89126,Clark,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,po box 28759,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
Arbuckle Drive Homeowners Association,6425-1992,SUB,48,(702) 645-1210,"Adept Management Services, Inc",5550 Painted Mirage Rd Ste 320,Las Vegas,NV,89149,Clark,"ADEPT MANAGEMENT SERVICES, INC",5550 painted mirage rd,adept management service,7026451210,adept management service,adept management service,adept management service,False
Arden Park Homeowners' Association,0142012009-5,REG,40,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Ardiente Homeowners Association,0362832005-5,REG,788,(702) 737-8580,"Firstservice Residential, Nevada Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
