Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Alpian Meadow @ Mountain'S Edge,mountain edge master association,mountain edge master association,,capital consultant management,capital consultant management corportation,capital consultant management corportation,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Alpine Crossings And Whisper Peak Community Association,,neighborhood association group,,neighborhood association group,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Alpine Meadows Estates Homeowners Association The,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,first columbia community management,first columbia community management,first columbia community management,las vega community management group,las vega community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Alpine Ridge Estates Homeowners Association,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,nevada community management,nevada community management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,2,True
Alpine Ridge Estates Homeowners' Association,,,,,,,,,nevada community management,nevada community management,nevada community management,,,,,,,,,1.0,1.0,1.0,1,False
Alpine Terrace Property Owners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,reno property management,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Alpine Vista Ii Homeowners Association,kenyon associate,kenyon associate,reno property management,reno property management,reno property management,reno property management,reno property management,reno property management,kenyon associate,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Alta Fiore Community Association,,,,,camco,camco,camco,camco,camco,camco,camco,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Alta Village Homeowners' Association,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Altair & Gemini Pointe Homeowners Association,,,,,camco,camco,camco,camco,seabreeze management,seabreeze management,las vega community management group,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Altair 17 Homeowners Association,,,,,,,,,triton hoa service,triton hoa service,triton hoa service,,,,,,,,1.0,1.0,1.0,1.0,1,False
Altair Homeowners Association,community management group,community management group,community management group,elite hoa management,elite hoa management,elite hoa management,elite hoa management,elite hoa management,elite hoa management,crossover association management,crossover association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Altair Sw Homeowners Association,,,,,,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Altamont Homeowners Association,,,,,,,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,,,,,,,,1.0,1.0,1.0,1.0,1,False
Alterra Homeowners Association,associated community management,path community management,,las vega valley community management,las vega valley community management,nevada community management,nevada community management,nevada community management,nevada community management,nicklin community management service,nicklin community management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Altezza Homeowners Association Inc,terra west management service,terra west management service,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Altitude Homeowners Association,,,,,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Alton Community Association,,,,,,,,,,,thoroughbred management,,,,,,,,,,,1.0,1,False
Altura Unit Owners Association,,camco,,camco,camco,camco,terra west management service,level property management,level property management,level property management,level property management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Alturas At Mountain'S Edge Homeowners Association,shannon day property management,shannon day property management,,shannon day property management,shannon day property management,shannon day property management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Alum Creek Patio Homes Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,camco,anchor management and consulting,anchor management and consulting,associa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Amado Homeowner'S Association,howard hughe,thoroughbred management,,thoroughbred management,thoroughbred management,thoroughbred management,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Amarante @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Amarillo Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
"Amber Hills Ii Homeowners' Association, Inc",terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Amber Hills Iii Homeowners Association Inc,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Amber Hills Owners Association Inc,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Amber Hills West Homeowners Association, Inc.",shannon day property management,shannon day property management,shannon day property management,shannon day property management,shannon day property management,shannon day property management,nevada community management,nevada community management,epic association management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,3,True
"Amber Hills West Homeowners Association, Inc. (*)",,,,,,,,,,epic association management,epic association management,,,,,,,,,,1.0,1.0,1,False
Amber Ridge Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Amber Ridge Community Association,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Amber Wood Homeowners Association,associated community management,path community management,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Amberock At Lake Las Vegas Homeowners Association,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Ambiance Estates Homeowners Association, Inc.",nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
"American Village Association, Inc.",nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,level property management,sage management,sage management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
American West Liberty Homeowners Association,,,,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,colonial property management,colonial property management,colonial community management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
American West Village Ii Owners Association,ideal community management,ideal community management,epic association management,epic association management,epic association management,epic association management,epic association management,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
American West Village Owners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,camco,camco,camco,epic association management,epic association management,epic association management,epic association management,epic association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Amiata Community Association,,,,,,,,,the management trust,the management trust,the management trust,,,,,,,,1.0,1.0,1.0,1.0,1,False
Amigo Trails Homeowners Association,,,,,,,,,,,associa,,,,,,,,,,1.0,1.0,1,False
Amizade Homeowners Association,,,,,camco,camco,camco,colonial property management,epic association management,epic association management,epic association management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Anasazi Estates Homeowners Association,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Anchor Pointe Master Homeowners Association,,,,,camco,camco,camco,camco,nevada community management,nevada community management,nevada community management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Andalusia Homeowner'S Association, The",professional community management,associa,,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Andersen Ranch Homeowners Association,,,,,,,,,,associa,associa,,,,,,,,,,1.0,1.0,1,False
Andover Community Association,,,,,,century communitie of nevada,soleil association management,varalino community management,varalino community management,varalino community management,varalino community management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Andover Homeowners Association,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Angel Court Homeowners Association,harmony management,harmony management,harmony management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Angel Point Homeowners Association,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Anitra Road Maintenance Association,,,,,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,kenyon associate,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Ann Losee Homeowners Association,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Annendale Homeowners Association,community management group,community management group,community management group,community management group,community management group,level property management,eugene burger management,eugene burger management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Ansedonia At Southern Highlands Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Antelope Canyon Homeowners Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Antelope Homeowners' Association,camco,camco,camco,camco,camco,on the ball,on the ball,on the ball,on the ball,on the ball,on the ball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Anthem Country Club Community Association, Inc.",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Anthem Highlands Community Association,terra west management service,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,terra west management service,terra west management service,terra west management service,taylor association management,real propertie management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Antigua Maintenance Corporation,camco,camco,camco,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Apache Hills Home Owners' Association, Inc.",shannon day property management,shannon day property management,shannon day property management,shannon day property management,shannon day property management,shannon day property management,epic association management,epic association management,epic association management,epic association management,epic association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Apache Springs Homeowners Association,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,sage management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Appaloosa Canyon/Quarterhorse Falls Homeowners Association,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Approach 80 Homeowners Association,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Aqua Homeowners Association,,,,,,,,,,,the management trust,,,,,,,,,,1.0,1.0,1,False
Aragon Homeowners' Association,,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Arbor Glen Homeowners Association,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arbor Grove @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Arbor Heights Community Association,,,,,,camco,camco,,,,,,,,,,1.0,1.0,,,,,2,True
"Arbor Lane Landscape Maintenance Association, Inc",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arbor Park Community Association,camco,camco,camco,camco,associa,associa,associa,associa,associa,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Arbor View @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Arbor Villas Homeowners Association,,,,,associa,associa,associa,associa,associa,associa,associa,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Arbors Owners Association Inc, The",first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arbuckle Drive Homeowners Association,colonial property management,colonial property management,,colonial property management,colonial property management,adept management service,adept management service,adept management service,adept management service,adept management service,the association management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
