Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
ADMIRAL'S POINT II OWNERS ASSOCIATION,10995-1992,REG,132,(702) 750-0530,C/O MESA MANAGEMENT,9512 W FLAMINGO RD STE 102,LAS VEGAS,NV,89147,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
AHEY ESTATES HOMEOWNERS ASSOCIATION INC,13019-1998,REG,32,(702) 362-0318,"C/O PERFORMANCE CAM, LLC",5135 CAMINO AL NORTE STE 210,N LAS VEGAS,NV,89031,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
AIRPARK ESTATES HOMEOWNERS ASSOCIATION,887-1991,REG,136,(775) 626-7333,C/O ASSOCIA SIERRA NORTH,10509 PROFESSIONAL CIR STE 200,RENO,NV,89521,Lyon,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
ALEXANDER PARK HOMEOWNERS' ASSOCIATION,26381-2003,REG,185,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT LLC,181 N ARROYO GRANDE STE 125,HENDERSON,NV,89147,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
ALEXANDER STATION COMMUNITY ASSOCIATION,19615-1998,REG,93,(702) 645-1210,C/O ADEPT MANAGEMENT SERVICES INC,5550 PAINTED MIRAGE RD STE 320,LAS VEGAS,NV,89149,Clark,neighborhood association group,neighborhood association group,neighborhood association group,neighborhood association group,6345 s jone blvd,False
ALEXIS HEIGHTS UNIT OWNERS ASSOCIATION,0037492005-9,REG,256,(702) 373-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ALIANTE COVE HOMEOWNERS ASSOCIATION,17454-2004,SUB,155,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALLEGRA HOMEOWNERS ASSOCIATION,0328012015-7,SUB,88,,,FOX HILL DR & ANTELOPE RIDGE DR,LAS VEGAS,NV,89138,Clark,,,,,,
ALLEGRO HOMEOWNERS ASSOCIATION,1392-1992,REG,147,(702) 992-7211,C/O DESERT LIVING INC,8925 S PECOS RD STE 15A,HENDERSON,NV,89074,Clark,associated community management,associated community management,associated community management,associated community management,6625 s valley view blvd,False
ALLEN MANOR HOMEOWNERS ASSOCIATION,12891-2004,REG,147,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALLEN MANOR II HOMEOWNERS ASSOCIATION,0052322006-0,REG,60,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,shannon day property management,shannon day property management,shannon day property management,shannon day property management,po box 97512,False
ALLERTON PARK HOMEOWNER'S ASSOCIATION,0295422005-4,SUB,333,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT INC,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,639 isbell rd,False
"ALLURE HOMEOWNERS' ASSOCIATION, INC.",0608152007-2,REG,427,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,throughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,True
ALLURE I TOWNHOMES HOMEOWNERS ASSOCIATION,3232-1994,REG,126,(702) 982-2587,"C/O NEVADA'S FINEST PROPERTIES, LLC",3568 E RUSSELL RD STE A,LAS VEGAS,NV,89120,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
ALOFT HOMEOWNERS ASSOCIATION CORPORATION,0450722006-0,REG,120,(702) 565-9743,,325 W LAKE MEAD PKWY,HENDERSON,NV,89015,Clark,,,,,,
ALONDRA HOMEOWNERS' ASSOCIATION,769-2005,REG,320,(702) 433-0149,C/O LEVEL PROPERTY MANAGEMENT,8966 SPANISH RIDGE AVE STE 100,LAS VEGAS,NV,89148,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALPIAN MEADOW @ MOUNTAIN'S EDGE,SAME AS MASTER,SAM,84,(702) 457-6362,MOUNTAIN'S EDGE MASTER ASSOCIATION,5588 S FT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,,,,,,
ALPINE CROSSINGS AND WHISPER PEAK COMMUNITY ASSOCIATION,0464062015-7,SUB,204,(702) 597-0710,C/O NEIGHBORHOOD ASSOCIATIONS GROUP LLC,6345 S JONES BLVD,LAS VEGAS,NV,89118,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALPINE MEADOWS ESTATES HOMEOWNERS ASSOCIATION THE,7447-1996,REG,19,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,shannon day property management,shannon day property management,shannon day property management,shannon day property management,po box 97512,False
ALPINE RIDGE ESTATES HOMEOWNERS ASSOCIATION,0498242007-9,REG,25,(702) 247-1115,C/O IDEAL COMMUNITY MANAGEMENT,6767 WEST TROPICANA AVE STE 200,LAS VEGAS,NV,89103,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ALPINE TERRACE PROPERTY OWNERS ASSOCIATION,1290-1974,REG,24,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Washoe,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,7571 tule spring rd,False
ALPINE VISTA II HOMEOWNERS ASSOCIATION,3388-1992,REG,84,(775) 674-8000,C/O KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89511,Washoe,associated community management,associated community management,associated community management,associated community management,6625 s valley view blvd,False
ALTA VILLAGE HOMEOWNERS' ASSOCIATION,7808-1994,REG,9,(775) 832-0284,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ALTAIR HOMEOWNERS ASSOCIATION,11896-1994,REG,176,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ALTERRA HOMEOWNERS ASSOCIATION,24204-2002,SUB,158,(702) 365-1621,C/O ASSOCIATED COMMUNITY MANAGEMENT,6625 S VALLEY VIEW BLVD STE 310,LAS VEGAS,NV,89118,Clark,ideal community management,ideal community management,ideal community management,ideal community management,6767 w tropicana ave,False
ALTEZZA HOMEOWNERS ASSOCIATION INC,9896-1996,SUB,128,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Clark,prime community management,prime community management,prime community management,prime community management,181 n arroyo grande blvd,False
ALTURA UNIT OWNERS ASSOCIATION,0218282015-5,SUB,119,,,ANTELOPE RIDGE DR & EBRO COLINA LN,LAS VEGAS,NV,89138,Clark,,,,,,
ALTURAS AT MOUNTAIN'S EDGE HOMEOWNERS ASSOCIATION,0168262006-1,SUB,83,(702) 795-1740,C/O SHANNON DAY PROPERTY MANAGEMENT,PO BOX 97512,LAS VEGAS,NV,89193,Clark,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
ALUM CREEK PATIO HOMES HOMEOWNERS ASSOCIATION,3220-1988,SUB,112,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",639 ISBELL RD STE 280,RENO,NV,89509,Washoe,harmony management,harmony management,harmony management,harmony management,2300 w sahara ave,False
AMADO HOMEOWNER'S ASSOCIATION,0568642006-1,SUB,503,(702) 515-2042,C/O THROUGHBRED MANAGEMENT,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9440 w sahara ave,False
AMARANTE @ SUMMERLIN NORTH,SAME AS MASTER,SAM,160,(702) 882-5500,C/O SUMMERLIN COMMUNITY MANAGEMENT,2120 SNOW TRAIL,LAS VEGAS,NV,89134,Clark,camco,camco,camco,camco,po box 12117,False
AMARILLO HOMEOWNERS ASSOCIATION,0528972005-1,REG,53,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
"AMBER HILLS II HOMEOWNERS' ASSOCIATION, INC",7307-2002,REG,176,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
AMBER HILLS III HOMEOWNERS ASSOCIATION INC,7407-2002,REG,80,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,associa nevada south,associa nevada south,associa nevada south,associa nevada south,3675 w cheyenne ave,False
AMBER HILLS OWNERS ASSOCIATION INC,318-1999,SUB,82,(702) 737-8580,C/O FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,camco,camco,camco,camco,po box 12117,False
"AMBER HILLS WEST HOMEOWNERS ASSOCIATION, INC.",5677-1998,REG,88,(702) 795-1740,C/O SHANNON DAY PROPERTY MANAGEMENT,PO BOX 97512,LAS VEGAS,NV,89193,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
AMBER RIDGE ASSOCIATION,7614-2004,REG,199,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT INC,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
AMBER RIDGE COMMUNITY ASSOCIATION,15054-2004,REG,213,(702) 655-7064,C/O LAS VEGAS VALLEY COMMUNITY MANAGEMENT,7571 TULE SPRINGS RD,LAS VEGAS,NV,89131,Clark,camco,camco,camco,camco,po box 12117,False
AMBER WOOD HOMEOWNERS ASSOCIATION,27877-2004,REG,55,(702) 365-1621,C/O ASSOCIATED COMMUNITY MANAGEMENT,6625 S VALLEY VIEW BLVD STE 310,LAS VEGAS,NV,89118,Clark,regal property management,regal property management,regal property management,regal property management,3945 w reno ave,False
"AMBIANCE ESTATES HOMEOWNERS ASSOCIATION, INC.",16829-2000,REG,49,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911-B,HENDERSON,NV,89014,Clark,ideal community management,ideal community management,ideal community management,ideal community management,6767 w tropicana ave,False
AMBIANCE SOUTHWEST LAND MANAGEMENT ASSOCIATION,0420392010-9,REG,10,(702) 823-2272,,7171 CROWNTOP CIR,LAS VEGAS,NV,89118,Clark,,,,,,
"AMERICAN VILLAGE ASSOCIATION, INC.",1145-1973,REG,147,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,regal property management,regal property management,regal property management,regal property management,3945 w reno ave,False
AMERICAN WEST VILLAGE II OWNERS ASSOCIATION,16408-1996,REG,97,(702) 247-1115,"C/O IDEAL COMMUNITY MANAGEMENT, INC",6767 W TROPICANA AVE STE 200,LAS VEGAS,NV,89103,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
AMERICAN WEST VILLAGE OWNERS ASSOCIATION,16349-1994,REG,203,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ANASAZI ESTATES HOMEOWNERS ASSOCIATION,8786-1995,REG,137,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT LLC,181 N ARROYO GRANDE BLVD STE 125,HENDERSON,NV,89074,Clark,camco,camco,camco,camco,po box 12117,False
"ANDALUSIA HOMEOWNER'S ASSOCIATION, THE",0655902011-6,SUB,81,(702) 540-9411,C/O PROFESSIONAL COMMUNITY MANAGEMENT OF NEVADA,8345 W SUNSET RD STE 150,LAS VEGAS,NV,89113,Clark,summerlin communty management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,True
ANDOVER HOMEOWNERS ASSOCIATION,2623-2004,REG,101,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
ANGEL COURT HOMEOWNERS ASSOCIATION,4852-1994,REG,40,(702) 309-3021,C/O HARMONY MANAGEMENT LLC,2300 W SAHARA AVE STE 800,LAS VEGAS,NV,89102,Clark,camco,camco,camco,camco,po box 12117,False
ANGEL POINT HOMEOWNERS ASSOCIATION,138-1995,REG,144,(702) 222-2391,"C/O NEVADA COMMUNITY MANAGEMENT, LLC",9440 W SAHARA AVE STE 237,LAS VEGAS,NV,89117,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ANN LOSEE HOMEOWNERS ASSOCIATION,0674752005-2,REG,427,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,adept management service,adept management service,adept management service,adept management service,5550 painted mirage rd,False
ANNENDALE HOMEOWNERS ASSOCIATION,35191-2001,REG,194,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,camco,camco,camco,camco,po box 12117,False
ANSEDONIA AT SOUTHERN HIGHLANDS HOMEOWNERS ASSOCIATION,23882-2003,SUB,160,(702) 737-8580,C/O FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,prime community management,prime community management,prime community management,prime community management,181 n arroyo grande blvd,False
ANTELOPE CANYON HOMEOWNERS ASSOCIATION,17971-1997,REG,102,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,3675 W CHEYENNE AVE STE 100,N LAS VEGAS,NV,89032,Clark,mesa management,mesa management,mesa management,mesa management,9512 w flamingo rd,False
ANTELOPE HOMEOWNERS' ASSOCIATION,14176-2004,REG,292,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
"ANTHEM COUNTRY CLUB COMMUNITY ASSOCIATION, INC.",14326-1998,REG,1649,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
ANTHEM HIGHLANDS COMMUNITY ASSOCIATION,18706-2003,MSTR,1549,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,western nevada propertie,western nevada management,western nevada management,western nevada management,804 mill st,True
ANTIGUA MAINTENANCE CORPORATION,27048-2000,REG,264,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,associa nevada south,associa nevada south,associa nevada south,associa nevada south,3675 w cheyenne ave,False
"APACHE HILLS HOME OWNERS' ASSOCIATION, INC.",12648-2003,REG,88,(702) 795-1740,C/O SHANNON DAY PROPERTY MANAGEMENT,PO BOX 97512,LAS VEGAS,NV,89193,Clark,associa sierra north,associa sierra north,associa sierra north,associa sierra north,10509 professional cir,False
APACHE SPRINGS HOMEOWNERS ASSOCIATION,956-1994,REG,146,(702) 262-9091,C/O REGAL PROPERTY MANAGEMENT,3945 W RENO AVE STE I,LAS VEGAS,NV,89118,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
APPALOOSA CANYON/QUARTERHORSE FALLS HOMEOWNERS ASSOCIATION,2484-2000,REG,339,(702) 247-1115,C/O IDEAL COMMUNITY MANAGEMENT,6767 W TROPICANA AVE STE 200,LAS VEGAS,NV,89103,Clark,community management group,community management group,nevada community management,community management group,2450 box canyon dr,False
APPROACH 80 HOMEOWNERS ASSOCIATION,7239-1981,REG,38,(702) 362-0318,"C/O PERFORMANCE CAM, LLC",5135 CAMINO AL NORTE STE 210,N LAS VEGAS,NV,89031,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
ARAGON HOMEOWNERS' ASSOCIATION,0112782015-8,REG,143,(702) 360-7524,,8925 W RUSSELL RD STE 200,LAS VEGAS,NV,89148,Clark,,,,,,
ARBOR GLEN HOMEOWNERS ASSOCIATION,0053052006-8,REG,147,(702) 292-9091,C/O REGAL PROPERTY MANAGEMENT,3945 W RENO AVE STE I,LAS VEGAS,NV,89118,Clark,real propertie management group,real propertie management group,real propertie management group,real propertie management group,po box 95606,False
ARBOR GROVE @ SUMMERLIN NORTH,SAME AS MASTER,SAM,165,(702) 838-5500,C/O SUMMERLIN COMMUNITY MANAGEMENT,2120 SNOW TRAIL,LAS VEGAS,NV,89134,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
"ARBOR LANE LANDSCAPE MAINTENANCE ASSOCIATION, INC",9376-2000,REG,261,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
ARBOR PARK COMMUNITY ASSOCIATION,2024-2000,REG,160,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,ctf development,ctf development,ctf development,ctf development,2990 ponce de leon blvd,False
ARBOR VIEW @ SUMMERLIN NORTH,SAME AS MASTER,SAM,88,(702) 838-5500,C/O SUMMERLIN COMMUNTY MANAGEMENT,2120 SNOW TRAIL,LAS VEGAS,NV,89134,Clark,compass community management,compass community management,compass community management,compass community management,500 n rainbow,False
"ARBORS OWNERS ASSOCIATION INC, THE",3100-1984,REG,159,(702) 365-6720,C/O FIRST COLUMBIA COMMUNITY MANAGEMENT INC,PO BOX 28759,LAS VEGAS,NV,89126,Clark,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
ARBUCKLE DRIVE HOMEOWNERS ASSOCIATION,6425-1992,SUB,48,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,desert community management,desert community management,desert community management,adept management service,5550 painted mirage rd,False
ARDEN PARK HOMEOWNERS' ASSOCIATION,0142012009-5,REG,40,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,howard hughe corporatoin,howard hughe,howard hughe,howard hughe corporatoin,10801 w charleston blvd 33d fl,True
ARDIENTE HOMEOWNERS ASSOCIATION,0362832005-5,REG,788,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,associa nevada south,associa nevada south,associa nevada south,associa nevada south,3675 w cheyenne ave,False
ARGENTS HILL DRIVE HOMEOWNERS ASSOCIATION,8812-1994,SUB,42,(702) 645-1210,C/O ADEPT MANAGEMENT SERVICES INC,5550 PAINTED MIRAGE RD STE 320,LAS VEGAS,NV,89149,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
ARIANNA RIDGE HOMEOWNERS ASSOCIATION,0515642005-7,REG,30,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
ARISTA HOMEOWNERS' ASSOCIATION,0257342014-9,REG,51,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT,181 N ARROYO GRANDE BLVD STE 125,HENDERSON,NV,89074,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
ARLINGTON RANCH ESTATES HOMEOWNERS ASSOCIATION,8387-2004,REG,137,(702) 750-0530,C/O MESA MANAGEMENT,9512 W FLAMINGO RD STE 102,LAS VEGAS,NV,89147,Clark,equu management group,equu management group,equu management group,equu management group,4888 spark blvd,False
ARLINGTON RANCH LANDSCAPE MAINTENANCE ASSOCIATION,8386-2004,REG,1232,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
ARLINGTON RANCH MANOR HOMEOWNERS ASSOCIATION,8389-2004,REG,160,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,incline property management,incline property management,incline property management,incline property management,848 tanger st,False
ARLINGTON TOWERS HOMEOWNERS ASSOCIATION,5587-1980,REG,194,(775) 284-4434,"C/O WESTERN NEVADA PROPERTIES, INC",804 MILL ST,RENO,NV,89502,Washoe,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
ARLINGTON WEST MANOR HOMEOWNERS ASSOCIATION,0843812006-6,REG,48,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
ARLINGTON WEST TWILIGHT HOMEOWNERS ASSOCIATION,0843092005-7,REG,131,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,3675 W CHEYENNE AVE STE 100,N LAS VEGAS,NV,89032,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ARROWCREEK HOMEOWNERS ASSOCIATION,9936-1997,REG,1090,(775) 626-7333,C/O ASSOCIA SIERRA NORTH,10509 PROFESSIONAL CIR STE 200,RENO,NV,89521,Washoe,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ARROWHEAD ESTATES HOMEOWNERS ASSOCIATION,2111-1981,REG,68,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,HENDERSON,NV,89074,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ARROWHEAD POINTE OWNERS ASSOCIATION INC,8583-1995,REG,112,(702) 222-2391,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ARROYO CANYON HOMEOWNERS ASSOCIATION,0562382005-2,REG,63,(702) 343-0149,C/O LEVEL PROPERTY MANAGEMENT,8966 SPANISH RIDGE AVE STE 100,LAS VEGAS,NV,89148,Clark,camco,camco,camco,camco,po box 12117,False
ARROYO GRANDE LANDSCAPE MAINTENANCE ASSOCIATION,8510-2000,REG,316,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
