Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
AMARILLO HOMEOWNERS ASSOCIATION,0528972005-1,REG,53,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
"AMBER HILLS II HOMEOWNERS' ASSOCIATION, INC",7307-2002,REG,176,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON ROAD SUITE 200,LAS VEGAS,NV,89113,Clark,kenyon associate,kenyon associate,kenyon associate,kenyon associate,645 sierra rose dr,False
AMBER HILLS III HOMEOWNERS ASSOCIATION INC,7407-2002,REG,80,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT SERVICES,375 N STEPHANIE ST STE 911,HENDERSON,NV,89014,Clark,camco,camco,camco,camco,po box 400518,False
AMBER HILLS OWNERS ASSOCIATION INC,318-1999,SUB,82,(702) 737-8580,C/O FIRST SERVICE RESIDENTIAL NEVADA LLC,8290 ARVILLE STREET,LAS VEGAS,NV,89139,Clark,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,2701 n tenaya way,False
"AMBER HILLS WEST HOMEOWNERS ASSOCIATION, INC. (*)",5677-1998,REG,88,(702) 767-9993,,8712 SPANISH RIDGE AVE,LAS VEGAS,NV,89148,Clark,,,,,,
AMBER RIDGE ASSOCIATION,7614-2004,REG,199,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,"710 CORONADO CENTER DRIVE, STE 120",HENDERSON,NV,89052,Clark,associa,associa,associa,associa,7670 w lake mead blvd,False
AMBER RIDGE COMMUNITY ASSOCIATION,15054-2004,REG,213,(702) 655-7064,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD #204,LAS VEGAS,NV,89147,Clark,on the ball,on the ball,on the ball,on the ball,1180 n town center dr 100,False
AMBER WOOD HOMEOWNERS ASSOCIATION,27877-2004,REG,55,(702) 982-2587,C/O NEVADA'S FINEST PROPERTIES LLC,3568 E RUSSELL RD,LAS VEGAS,NV,89120,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
AMBEROCK AT LAKE LAS VEGAS HOMEOWNERS ASSOCIATION,5912472020-0,SUB,225,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W CHEYENNE,N LAS VEGAS,NV,89032,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
"AMBIANCE ESTATES HOMEOWNERS ASSOCIATION, INC.",16829-2000,REG,49,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT SERVICES,"375 N. STEPHANIE ST., SUITE 911",HENDERSON,NV,89014,Clark,epic association management,epic association management,epic association management,epic association management,8712 spanish ridge ave,False
AMBIANCE SOUTHWEST LAND MANAGEMENT ASSOCIATION,0420392010-9,REG,10,(760) 532-8953,,7151 CROWNTOP CIR,LAS VEGAS,NV,89118,Clark,,,,,,
"AMERICAN VILLAGE ASSOCIATION, INC.",1145-1973,REG,147,(702) 433-0149,C/O LEVEL COMMUNITY MANAGEMENT,8966 SPANISH RIDGE AE STE 100,LAS VEGAS,NV,89148,Clark,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
AMERICAN WEST LIBERTY HOMEOWNERS ASSOCIATION,0546802018-9,REG,135,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,performance cam,performance cam,performance cam,performance cam,5135 camino al norte 100,False
AMERICAN WEST VILLAGE II OWNERS ASSOCIATION,16408-1996,REG,97,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W LAKE MEAD SUITE 100,LAS VEGAS,NV,89128,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
AMERICAN WEST VILLAGE OWNERS ASSOCIATION,16349-1994,REG,203,(702) 767-9996,C/O EPIC ASSOCIATION MANAGEMENT,8712 SPANISH RIDGE AVE,LAS VEGAS,NV,89148,Clark,regal property management,regal property management,regal property management,regal property management,3720 w oquendo rd,False
AMIATA COMMUNITY ASSOCIATION,21834012022-3,REG,98,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD SUITE 100,LAS VEGAS,NV,89113,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
AMIGO TRAILS HOMEOWNERS ASSOCIATION,36030392023-1,REG,130,(702) 795-3344,,,LAS VEGAS,NV,89128,Clark,,,,,,
AMIZADE HOMEOWNERS ASSOCIATION,0466452018-9,REG,172,(702) 767-9993,C/O EPIC ASSOCIATION MANAGEMENT,8712 SPANISH RIDGE AVE,LAS VEGAS,NV,89148,Clark,associa,associa,associa,associa,7670 w lake mead blvd,False
ANASAZI ESTATES HOMEOWNERS ASSOCIATION,8786-1995,REG,137,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT LLC,3556 E RUSSELL RD,LAS VEGAS,NV,89120,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
ANCHOR POINTE MASTER HOMEOWNERS ASSOCIATION,0116102019-6,REG,247,(775) 515-4242,C/O NEVADA COMMUNITY MANAGEMENT,704 WEST NYE LN STE 101,CARSON CITY,NV,89703,Carson City,associa,associa,associa,associa,10509 professional cir,False
"ANDALUSIA HOMEOWNER'S ASSOCIATION, THE",0655902011-6,SUB,81,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W. LAKE MEAD BLVD STE 100,LAS VEGAS,NV,89134,Clark,first columbia community management,first columbia community management,first columbia community management,first columbia community management,3100 w sahara ave,False
ANDERSEN RANCH HOMEOWNERS ASSOCIATION,33164292023-2,REG,400,,,ATTN: TOM SOSA,RENO,NV,89511,Carson City,,,,,,
ANDOVER COMMUNITY ASSOCIATION,2031252019-9,REG,63,(702) 968-0405,C/O VARALINO COMMUNITY MANAGEMENT,6345 S PECOS RD STE 206,LAS VEGAS,NV,89120,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenene ave,False
ANDOVER HOMEOWNERS ASSOCIATION,2623-2004,REG,101,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,the management trust,the management trust,the management trust,the management trust,8485 w sunset rd 100,False
ANGEL COURT HOMEOWNERS ASSOCIATION,4852-1994,REG,40,(702) 433-0149,C/O LEVEL PROPERTY MANAGEMENT,8966 SPANISH RIDGE AVE STE 100,LAS VEGAS,NV,89148,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
ANGEL POINT HOMEOWNERS ASSOCIATION,138-1995,REG,144,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,camco,camco,camco,camco,po box 400518,False
ANITRA ROAD MAINTENANCE ASSOCIATION,5294-1996,REG,20,(775) 674-8000,C/O KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89511,Washoe,seabreeze management,seabreeze management,seabreeze management,seabreeze management,8329 w sunset rd,False
