Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Canonical,Firm_Final
Horizons @ Green Valley Ranch,SAME AS MASTER,SAM,111.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Los Serranos @ Mountain'S Edge,SAME AS MASTER,SAM,54.0,, Capital Consultants Management Corporation,8090 Blue Diamond Rd Ste 240,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Mandolin Homeowners Association,0436892006-1,SUB,174.0,, Nevada Community Management,9500 W Flamingo Rd #204,Las Vegas,NV,89147,Clark,9500 w flamingo rd 204,nevada community management,,olympia management service,nevada community management,olympia management service,olympia management service
Monterosso Canyon @ Southern Highlands,SAME AS MASTER,SAM,122.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Monterosso Crossings @ Southern Highlands,SAME AS MASTER,SAM,321.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Mountaingate Reno Homeowners Association,0834952006-1,REG,251.0,," Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Washoe,8290 arville st,firstservice residential nevada,,olympia management service,firstservice residential nevada,olympia management service,olympia management service
Paragon Parkside,,SAM,,, Olympia Management,,,NV,,Clark,,olympia management,,olympia management service,economic and urban development department,olympia management service,olympia management service
Pavillion Pointe @ Green Valley Ranch,SAME AS MASTER,SAM,108.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Reflections @ Green Valley Ranch,SAME AS MASTER,SAM,129.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Regency Hills @ Green Valley Ranch,SAME AS MASTER,SAM,127.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Richmond Terrace @ Green Valley Ranch,SAME AS MASTER,SAM,112.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Sage Canyon @ Mountain'S Edge,,SAM,29.0,, Capital Consultants Management Corporation,8090 Blue Diamond Rd,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Siena Ancora @ Southern Highlands,SAME AS MASTER,SAM,120.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Siena Vista @ Southern Highlands,SAME AS MASTER,SAM,135.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Sonoma Summit @ Mountain'S Edge,,SAM,28.0,, Capital Consultants Management Corporation,8090 Blue Diamond Rd,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
South Hills @ Green Valley Ranch,SAME AS MASTER,SAM,128.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Stagsleap @ Green Valley Ranch,SAME AS MASTER,SAM,125.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Stoneybrook @ Green Valley Ranch,SAME AS MASTER,SAM,174.0,, Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,po box 80900,terra west management service,,olympia management service,terra west management service,olympia management service,olympia management service
Sutter @ Mountain'S Edge,SAME AS MASTER,SAM,273.0,, Capital Consultants Management Corporation,"8090 Blue Diamond Rd, Ste 240",Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Toscana Vineyards @ Southern Highlands,SAME AS MASTER,SAM,248.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Trophy District,SAME AS MASTER,SAM,109.0,, Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Clark,8595 s eastern ave,colonial property management,,olympia management service,colonial property management,olympia management service,olympia management service
Versilia,,SAM,96.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 100,Las Vegas,NV,89141,,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Via Dana @ Southern Highlands,SAME AS MASTER,SAM,334.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Vista Pines @ Mountain'S Edge,,SAM,25.0,, Capital Consultants Management Corporation,8090 Blue Diamond Rd,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Willow Creek @ Mountain'S Edge,,SAM,20.0,, Capital Consultants Management Corporation,8090 Blue Diamond Road,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Vivian Lane Association,12400-1992,REG,14.0,(530) 448-2235, Heather Garayoa,11414 Huntsman Leap,Truckee,CA,96161,,11414 huntsman leap,heather garayoa,5304482235,heather garayoa,heather garayoa,heather garayoa,heather garayoa
Stanford Square,5498-1980,REG,32.0,530940909, Associa Sierra North,Po Box 10983,Zephyr Cove,NV,89448,Douglas,po box 10983,associa sierra north,530940909,associa sierra north,associa sierra north,associa sierra north,associa sierra north
Aspen Peak Homeowners Association Inc,21791-2003,REG,300.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Avendale Homeowners Association,0281382006-3,REG,27.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Bel Aire Village Inc,6606-1993,REG,60.0,(702) 202-4330, P & G Association Management,"129 W. Lake Mead Pkwy, #16",Henderson,NV,89015,Clark,129 w lake mead pkwy 16,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Bradford Place Community Association Inc,400-1972,REG,171.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy #16,Henderson,NV,89015,Clark,129 w lake mead pkwy 16,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Canyon Creek Villas Homeowners Association,0824402006-4,REG,280.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Charleston Village Homes Homeowners Association,1217-1973,REG,106.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"Cottages Community Association, The",0249172017-1,REG,65.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Crescent Valley Association,27888-2004,REG,393.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Crossroads Homeowners Association Inc,2464-1981,REG,128.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Crossroads Iii Homeowners Association,7646-1982,REG,168.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"Greenbriar Townhouse Owners Association Inc, The",1904-1968,REG,433.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Hidden Crest V Homeowners Association,0424402006-0,REG,16.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
High Noon Homeowners Association,9422-2001,SUB,195.0,(702) 202-4330, P & G Association Management,"129 W Lake Mead Pkwy, Suite 16",Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"Hillside View Homeowners Association, Inc",2668-1999,REG,76.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Home Stretch Homeowners Association,14351-1995,REG,192.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Horizon View Owner'S Association,6399-1994,REG,72.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Parkway Suite 16,Henderson,NV,89015,Clark,129 w lake mead parkway,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Inspiration At The Villages Community Association,22466742022-4,REG,30.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Inspiration Community Association,12428192021-4,REG,33.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"La Paz Nuevo Homeowners Association, Inc",25567-2001,REG,24.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Laketree Homeowners Association,1958-1973,REG,54.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Mountainside At Green Valley Homeowners Association,8272-1989,SUB,74.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Mountainside Homeowners Association,8547-1996,REG,417.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Murano Homeowners Association,0664502005-1,REG,121.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy #16,Henderson,NV,89015,Clark,129 w lake mead pkwy 16,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Our Place At Cottonwood Homeowners' Association,0353222014-2,REG,19.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Pacific Sunset Village Homeowners Association,7211-1990,REG,63.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
River Landing Homeowners Association,5797-1985,REG,329.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Parkway Ste16,Henderson,NV,89015,Clark,129 w lake mead parkway ste16,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Sage Canyon Homeowners Association,0500222015-2,REG,50.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Sage Creek 1 Homeowners Association,0401752006-4,REG,58.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Spring Oaks Ii Homeowners Association,7656-1987,REG,312.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Spring Terrace Homeowners Association,621-1985,REG,134.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Stone Canyon Sausalito Homeowners Association,23253-1995,REG,80.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Stonebridge Estates Homeowners Association,6430-2003,REG,25.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Tuscany Retreat Homeowners' Association,0256932007-0,REG,47.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Vegas Drive Home Owners Association,986-1972,REG,76.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Winterwood Ranch Unit No. One,495-1973,REG,102.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Country Club Hills Community Association,13783-1992,SUB,171.0,(702) 215-8155," Firstservice Residential, Nevada, Llc",8290 Arville Street,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential nevada,7022158155,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada
Providence Master Homeowners Association,30696-2003,MSTR,327.0,(702) 216-2020, Ccmc,5940 South Rainbow Blvd,Las Vegas,NV,89188,Clark,5940 s rainbow blvd,ccmc,7022162020,ccmc,ccmc,ccmc,ccmc
Tuscano Homeowners' Association,0223312005-5,REG,352.0,(702) 220-9742," Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential nevada,7022209742,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada
Fairway Villas Property Owners Association,15465-1993,REG,99.0,(702) 222-1484, Personalized Property Management Services,2613 Seurat Terrace,Henderson,NV,89044,Clark,2613 seurat terrace,personalized property management service,7022221484,personalized property management service,personalized property management service,personalized property management service,personalized property management service
Windsor Hill Estates Homeowners Association,0636752010-3,REG,14.0,702222239, Nevada Community Management,"9500 W. Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,702222239,nevada community management,nevada community management,nevada community management,nevada community management
Admiral'S Point Homeowners Association,7506-1987,SUB,132.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Admiral'S Point Ii Owners Association,10995-1992,REG,132.0,(702) 222-2391, Nevada Community Management,"9500 W Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Alondra Homeowners' Association,769-2005,REG,320.0,(702) 222-2391, Nevada Community Management,"1485 W Warm Springs Road, Suite 107",Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Alpine Ridge Estates Homeowners Association,0498242007-9,REG,25.0,(702) 222-2391, Nevada Community Management,9500 W. Flamingo Rd Suite 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Alterra Homeowners Association,24204-2002,SUB,158.0,(702) 222-2391, Nevada Community Management,7571 Tule Springs Rd,Las Vegas,NV,89131,Clark,7571 tule spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Alturas At Mountain'S Edge Homeowners Association,0168262006-1,SUB,83.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Angel Point Homeowners Association,138-1995,REG,144.0,(702) 222-2391, Nevada Community Management,7571 Tule Springs Road,Las Vegas,NV,89131,Clark,7571 tule spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Ascente Homeowners Association,24203-2002,REG,46.0,(702) 222-2391, Nevada Community Management,"9500 W Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Bermuda Ranch Homeowners Association,0713892006-7,REG,18.0,(702) 222-2391, Nevada Community Management,"1485 W Warm Springs Road, Suite 107",Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Bilbray Ranch Square Homeowners Association,0766192006-6,SUB,141.0,(702) 222-2391, Nevada Community Management,"1485 W Warm Springs Road, Suite 107",Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Bridgeport Homeowners Association,27947-1997,REG,102.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Brownstones At Centennial Springs Community Association, The",0161102017-9,REG,21.0,(702) 222-2391, Nevada Community Management,1485 W Warm Springs Rd Ste 107,Las Vegas,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Buena Vista Homeowner Association,10349-1993,SUB,208.0,(702) 222-2391, Nevada Community Management,"9500 West Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Cactus Court Homeowners Association,0763322005-9,REG,120.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste #204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Calavera Homeowners Association,2622-2004,SUB,166.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Cambridge Gardens Apartment Home Owners Association, Inc.",28927-2002,REG,56.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Canyon Creek North Homeowners Association,6598-1995,REG,293.0,(702) 222-2391, Nevada Community Management,9500 West Flamingo Road #204,Las Vegas,NV,89147,Clark,9500 w flamingo rd 204,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Canyons Homeowners Association, The",0046222017-3,REG,148.0,(702) 222-2391, Nevada Community Management,"1485 W Warm Springs Road, Suite 107",Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Casa Reali Homeowners Association,14683-1993,REG,41.0,(702) 222-2391, Nevada Community Management,"1485 W Warm Springs Road, Suite 107",Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Chelsea Gardens Homeowners Association,29552-2000,SUB,80.0,(702) 222-2391, Nevada Community Management,"9500 W Flamingo Road, Suite 204",Las Vegas,NV,89131,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Clearwater Estates Homeowners Association,0268002012-0,REG,10.0,702-222-2391, Nevada Community Management,"1485 W Warm Springs Road, Suite 107",Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Cobblestone Manor Ii Landscape Maintenance Association,4516-2003,REG,107.0,(702) 222-2391, Nevada Community Management,1485 W Warm Springs Rd Ste 107,Henderson,NV,89014,Clark,1485 w warm spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Cobblestone Manor Vi Homeowners Association,0609992005-1,REG,42.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd #204,Las Vegas,NV,89147,Clark,9500 w flamingo rd 204,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Cobblestone Ridge Homeowners Association,10885-2001,REG,501.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Collections At Eagle Ranch Homeowners Association, The",0327972005-8,REG,33.0,(702) 222-2391, Nevada Community Management,9500 West Flamingo Rd Suite 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Cortina Homeowners Association,5474-2003,REG,105.0,(702) 222-2391, Nevada Community Management,9500 W. Flamingo Rd. #204,Las Vegas,NV,89147,Clark,9500 w flamingo rd 204,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Countryside Homeowners Association,5393-1996,REG,497.0,(702) 222-2391, Nevada Community Management,"9500 W. Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Coves Homeowners Association, The",2811-1988,REG,128.0,(702) 222-2391, Nevada Community Management,7571 Tule Springs Road,Las Vegas,NV,89131,Clark,7571 tule spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Decatur Mountain Villas Homeowners' Association, Inc.",16818-2002,REG,50.0,(702) 222-2391, Nevada Community Management,"9500 W. Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Del Mar Downs Homeowner Association,1873-1985,REG,36.0,702-222-2391, Nevada Community Management,9500 Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Desert Cove Estates Homeowners Association Inc,22665-1999,REG,43.0,(702) 222-2391, Nevada Community Management,"9500 W. Flamingo Road, Suite #204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Desert Moon Homeowners Association,0665492005-9,REG,82.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Diamond Creek Homeowners' Association,0538252005-9,SUB,190.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Dorrell Square Homeowners Association,15668-2004,REG,110.0,(702) 222-2391, Nevada Community Management,7571 Tule Springs Rd,Las Vegas,NV,89131,Clark,7571 tule spring rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
